ID,location,PropertyType,BHK,price
27402953,Ajmer Road,villa,3.0,15000
42876167,Vaishali Nagar,apartment,2.0,12000
34531255,Sez,apartment,3.0,15000
40699639,Bapu Nagar,builder floor apartment,4.0,49000
40210865,Pratap Nagar,villa,3.0,35000
39467015,M I Road,residential house,6.0,80000
41481737,Airport Road,service apartment,3.0,50000
33583259,Jagatpura,apartment,3.0,25000
33356203,Lalkothi,builder floor apartment,3.0,28000
42627083,Bajaj Nagar Enclave,apartment,3.0,30000
40256981,Sanganer,builder floor apartment,3.0,20000
41856771,Patrakar Colony,apartment,3.0,24000
40632715,Chitrakoot,residential house,3.0,25000
40909555,Khatipura,residential house,2.0,15000
41032215,Jagatpura,service apartment,2.0,11000
42855951,Vaishali Nagar,builder floor apartment,2.0,19000
23763687,Sirsi Road,apartment,4.0,17000
40361263,Bani Park,apartment,4.0,30000
31716151,Tonk Road,villa,3.0,18000
42772417,Vaishali Nagar,residential house,2.0,20000
42811263,Mansarovar,apartment,3.0,16000
42840647,Ajmer Road,residential house,1.0,12000
42705039,Jagatpura,builder floor apartment,2.0,12000
41410677,C-Scheme,apartment,4.0,55000
38901841,Pratap Nagar,apartment,3.0,30000
41398407,Ajmer Road,villa,3.0,18000
41994099,Gandhi Path,apartment,3.0,24000
40526939,Vaishali Nagar,apartment,2.0,14000
42564973,Vaishali Nagar,apartment,2.0,10000
42226903,Vaishali Nagar,builder floor apartment,2.0,18000
42909695,Mansarovar,residential house,2.0,10000
40649341,Ajmer Road,apartment,3.0,12000
42776209,Barkat Nagar,apartment,1.0,8900
41210557,Vaishali Nagar,residential house,2.0,16000
40832345,Jhotwara,residential house,2.0,11000
42781489,Vaishali Nagar,residential house,2.0,11500
20531879,Ajmer Road,apartment,2.0,8500
42501901,Malviya Nagar,residential house,2.0,18000
42347835,Ajmer Road,apartment,2.0,12000
41145571,Ajmer Road,residential house,2.0,13000
41975549,Jhotwara,residential house,3.0,11500
42897933,Vaishali Nagar,apartment,2.0,23000
39744477,Devi Nagar,apartment,3.0,14000
41614687,Janta Colony,residential house,3.0,35000
42052491,Jagatpura,villa,2.0,12500
42691025,Shyam Nagar,residential house,5.0,120000
33626949,Malviya Nagar,residential house,3.0,16000
32009071,Sirsi Road,apartment,3.0,15000
34908721,Civil Lines,residential house,3.0,50000
37001251,Jagatpura,residential house,3.0,15000
41310219,Niwaru Road,builder floor apartment,3.0,10500
42601683,Brahmapuri,residential house,2.0,9000
41966511,New Sanganare Road,apartment,1.0,13500
42630817,Gandhi Path,residential house,2.0,12000
41906719,Mansarovar Extension,apartment,3.0,20000
42495593,Heerapura,apartment,3.0,20000
32522123,Mansarovar,apartment,3.0,19000
40523711,Ajmer Road,apartment,3.0,13000
42391105,Malviya Nagar,residential house,2.0,17000
41611353,Patrakar Colony,apartment,3.0,17000
40515885,Jhotwara,builder floor apartment,3.0,12000
38312065,Siddharth Nagar,residential house,3.0,17000
22893627,Khatipura,apartment,2.0,9500
42146129,Malviya Nagar,residential house,6.0,60000
41382209,Airport Road,builder floor apartment,3.0,11000
40600135,Sez,apartment,3.0,17500
37936281,Jhotwara,apartment,2.0,10000
32017695,Mahaveer Nagar,villa,5.0,55000
42009227,Pratap Nagar,villa,5.0,40000
42866301,Chitrakoot,penthouse,3.0,19000
40841413,Civil Lines,residential house,2.0,30000
42760437,Malviya Nagar,builder floor apartment,1.0,12000
19873444,Nirman Nagar,residential house,2.0,16000
41372655,Ajmer Road,apartment,3.0,17000
40478683,Durgapura,residential house,4.0,35000
42071109,Vivek Vihar,villa,3.0,25000
37074139,Mahindra World City,apartment,3.0,13000
